1	2,-2,1;2,2,1;4,0,-1
2	0,0,1;0,-2,-1;0,2,-1;-2,0,1;2,0,1
3	4,0,1;4,-4,1;4,4,1;6,-2,-1;6,2,-1
4	2,0,-1;2,-2,1;2,2,1;4,0,-1;4,-2,1;4,2,1;6,0,-1
5	0,0,2;0,-2,-1;0,2,-1;-2,0,1;2,0,1;2,-2,-1;2,2,-1;4,0,1
6	0,-2,1;0,2,1;2,0,-2;2,-2,1;2,2,1;2,-4,-1;2,4,-1;4,0,-1;4,-2,1;4,2,1
7	0,0,3;0,-2,-1;0,2,-1;0,-4,1;0,4,1;-2,0,1;2,0,1;-2,-2,-1;-2,2,-1;2,-2,-1;2,2,-1
8	6,-2,1;6,2,1;6,-6,1;6,6,1;8,0,-1;8,-4,-1;8,4,-1
9	2,0,-1;2,-2,1;2,2,1;4,0,-2;4,-2,1;4,2,1;6,0,-1;6,-2,1;6,2,1;8,0,-1
10	-4,0,1;-4,-2,-1;-4,2,-1;-4,-4,1;-4,4,1;-6,0,2;-6,-2,-1;-6,2,-1;-6,-4,1;-6,4,1;-8,-2,-1;-8,2,-1
11	-2,0,-2;-2,-2,1;-2,2,1;-4,0,-2;-4,-2,2;-4,2,2;-6,0,-2;-6,-2,1;-6,2,1;-8,0,-1
12	4,0,2;4,-2,-1;4,2,-1;4,-4,1;4,4,1;6,0,2;6,-2,-2;6,2,-2;6,-4,1;6,4,1;8,0,1;8,-2,-1;8,2,-1
13	0,0,-1;0,-2,1;0,2,1;2,0,-3;2,-2,2;2,2,2;2,-4,-1;2,4,-1;4,0,-2;4,-2,2;4,2,2;6,0,-1
14	0,0,4;0,-2,-2;0,2,-2;0,-4,1;0,4,1;-2,0,2;2,0,2;2,-2,-1;2,2,-1;-2,-2,-2;-2,2,-2;-4,0,1
15	0,0,2;0,-2,-1;0,2,-1;-2,0,1;2,0,2;2,-2,-1;2,2,-1;4,0,1;4,-2,-1;4,2,-1;6,0,1
16	2,0,1;2,-4,1;2,4,1;4,0,1;4,-2,-2;4,2,-2;4,-4,1;4,4,1;4,-6,-1;4,6,-1;6,0,1;6,-2,-1;6,2,-1;6,-4,1;6,4,1
17	0,0,3;0,-2,-2;0,2,-2;-2,0,2;2,0,2;-2,-2,-1;-2,2,-1;2,-2,-1;2,2,-1;-4,0,1;4,0,1
18	0,0,-2;0,-2,1;0,2,1;0,-4,-1;0,4,-1;2,0,-2;-2,-2,1;-2,2,1;2,-2,2;2,2,2;2,-4,-1;2,4,-1;4,0,-1;4,-2,1;4,2,1
19	-2,0,2;-2,-4,1;-2,4,1;-4,0,1;-4,-2,-3;-4,2,-3;-4,-4,1;-4,4,1;-4,-6,-1;-4,6,-1;-6,0,2;-6,-2,-1;-6,2,-1;-6,-4,1;-6,4,1
20	0,-2,1;0,2,1;2,0,-3;2,-2,2;2,2,2;2,-4,-1;2,4,-1;4,0,-3;4,-2,2;4,2,2;4,-4,-1;4,4,-1;6,0,-1;6,-2,1;6,2,1
